&#x264b;	cancer
&#x264c;	leo
&#x264d;	virgo
&#x264e;	libra
&#x264f;	scorpius
&#x2650;	sagittarius
&#x2651;	capricorn
&#x2652;	aquarius
&#x2653;	pisces
&#x26ce;	ophiuchus
&#x1f311;	new moon symbol
&#x1f312;	waxing crescent moon symbol
&#x1f313;	first quarter moon symbol
&#x1f314;	waxing gibbous moon symbol
&#x1f315;	full moon symbol
&#x1f316;	waning gibbous moon symbol
&#x1f317;	last quarter moon symbol
&#x1f318;	waning crescent moon symbol
&#x1f319;	crescent moon
&#x1f31a;	new moon with face
&#x1f31b;	first quarter moon with face
&#x1f31c;	last quarter moon with face
&#x1f321;	thermometer
&#x2600;	black sun with rays
&#x1f31d;	full moon with face
&#x1f31e;	sun with face
&#x2601;	cloud
&#x26c5;	sun behind cloud
&#x26c8;	thunder cloud and rain
&#x1f324;	white sun with small cloud
&#x1f325;	white sun behind cloud
&#x1f326;	white sun behind cloud with rain
&#x1f327;	cloud with rain
&#x1f328;	cloud with snow
&#x1f329;	cloud with lightning
&#x1f32a;	cloud with tornado
&#x1f32b;	fog
&#x1f32c;	wind blowing face
&#x1f300;	cyclone
&#x1f308;	rainbow
&#x1f302;	closed umbrella
&#x2602;	umbrella
&#x2614;	umbrella with rain drops
&#x26f1;	umbrella on ground
&#x2744;	snowflake
&#x2603;	snowman
&#x26c4;	snowman without snow
&#x1f31f;	glowing star
&#x1f320;	shooting star
&#x2604;	comet
&#x1f525;	fire
&#x1f383;	jack-o-lantern
&#x1f384;	christmas tree
&#x1f54e;	menorah with nine branches
&#x1f386;	fireworks
&#x1f387;	firework sparkler
&#x2728;	sparkles
&#x1f388;	balloon
&#x1f389;	party popper
&#x1f38a;	confetti ball
&#x1f38b;	tanabata tree
&#x1f38c;	crossed flags
&#x1f38d;	pine decoration
&#x1f38e;	japanese dolls
&#x1f38f;	carp streamer
&#x1f390;	wind chime
&#x1f391;	moon viewing ceremony
&#x1f393;	graduation cap
&#x1f3af;	direct hit
&#x1f3b4;	flower playing cards
&#x1f380;	ribbon
&#x1f381;	wrapped present
&#x1f396;	military medal
&#x1f397;	reminder ribbon
&#x1f39e;	film frames
&#x1f39f;	admission tickets
&#x1f3ab;	ticket
&#x1f3f7;	label
&#x26bd;	soccer ball
&#x26be;	baseball
&#x1f3c0;	basketball and hoop
&#x1f3c8;	american football
&#x1f3c9;	rugby football
&#x1f3be;	tennis racquet and ball
&#x1f3b1;	billiards
&#x1f3b3;	bowling
&#x26f3;	flag in hole
&#x1f3cc;	golfer
&#x26f8;	ice skate
&#x1f3a3;	fishing pole and fish
&#x1f3bd;	running shirt with sash
&#x1f3bf;	ski and ski boot
&#x26f7;	skier
&#x1f3c2;	snowboarder
&#x1f3c4;	surfer
&#x1f3c7;	horse racing
&#x1f3ca;	swimmer
&#x26f9;	person with ball
&#x1f3cb;	weight lifter
&#x1f6b4;	bicyclist
&#x1f6b5;	mountain bicyclist
&#x1f3ce;	racing car
&#x1f3cd;	racing motorcycle
&#x1f3c5;	sports medal
&#x1f3c6;	trophy
&#x1f3cf;	cricket bat and ball
&#x1f3d0;	volleyball
&#x1f3d1;	field hockey stick and ball
&#x1f3d2;	ice hockey stick and puck
&#x1f3d3;	table tennis paddle and ball
&#x1f3f8;	badminton racquet and shuttlecock
&#x1f3ae;	video game
&#x1f579;	joystick
&#x1f3b2;	game die
&#x2660;	black spade suit
&#x2665;	black heart suit
&#x2666;	black diamond suit
&#x2663;	black club suit
&#x1f0cf;	playing card black joker
&#x1f004;	mahjong tile red dragon
&#x1f507;	speaker with cancellation stroke
&#x1f508;	speaker
&#x1f509;	speaker with one sound wave
&#x1f50a;	speaker with three sound waves
&#x1f4e2;	public address loudspeaker
&#x1f4e3;	cheering megaphone
&#x1f4ef;	postal horn
&#x1f514;	bell
&#x1f515;	bell with cancellation stroke
&#x1f500;	twisted rightwards arrows
&#x1f501;	clockwise rightwards and leftwards open circle arrows
&#x1f502;	clockwise rightwards and leftwards open circle arrows with circled one overlay
&#x25b6;	black right-pointing triangle
&#x23e9;	black right-pointing double triangle
&#x23ed;	black right-pointing double triangle with vertical bar
&#x23ef;	black right-pointing triangle with double vertical bar
&#x25c0;	black left-pointing triangle
&#x23ea;	black left-pointing double triangle
&#x23ee;	black left-pointing double triangle with vertical bar
&#x1f53c;	up-pointing small red triangle
&#x23eb;	black up-pointing double triangle
&#x1f53d;	down-pointing small red triangle
&#x23ec;	black down-pointing double triangle
&#x23f8;	double vertical bar
&#x23f9;	black square for stop
&#x23fa;	black circle for record
&#x23cf;	eject symbol
&#x1f3bc;	musical score
&#x1f3b5;	musical note
&#x1f3b6;	multiple musical notes
&#x1f399;	studio microphone
&#x1f39a;	level slider
&#x1f39b;	control knobs
&#x1f3a4;	microphone
&#x1f3a7;	headphone
&#x1f3b7;	saxophone
&#x1f3b8;	guitar
&#x1f3b9;	musical keyboard
&#x1f3ba;	trumpet
&#x1f3bb;	violin
&#x1f4fb;	radio
&#x1f4f1;	mobile phone
&#x1f4f3;	vibration mode
&#x1f4f4;	mobile phone off
&#x1f4f2;	mobile phone with rightwards arrow at left
&#x1f4f5;	no mobile phones
&#x260e;	black telephone
&#x1f4de;	telephone receiver
&#x0023 u+20e3;	keycap number sign
&#x002a u+20e3;	keycap asterisk
&#x0030 u+20e3;	keycap digit zero
&#x0031 u+20e3;	keycap digit one
&#x0032 u+20e3;	keycap digit two
&#x0033 u+20e3;	keycap digit three
&#x0034 u+20e3;	keycap digit four
&#x0035 u+20e3;	keycap digit five
&#x0036 u+20e3;	keycap digit six
&#x0037 u+20e3;	keycap digit seven
&#x0038 u+20e3;	keycap digit eight
&#x0039 u+20e3;	keycap digit nine
&#x1f51f;	keycap ten
&#x1f4f6;	antenna with bars
&#x1f4df;	pager
&#x1f4e0;	fax machine
&#x1f50b;	battery
&#x1f50c;	electric plug
&#x1f4bb;	personal computer
&#x1f5a5;	desktop computer
&#x1f5a8;	printer
&#x2328;	keyboard
&#x1f5b1;	three button mouse
&#x1f5b2;	trackball
&#x1f4bd;	minidisc
&#x1f4be;	floppy disk
&#x1f4bf;	optical disc
&#x1f4c0;	dvd
&#x1f3a5;	movie camera
&#x1f3a6;	cinema
&#x1f3ac;	clapper board
&#x1f4fd;	film projector
&#x1f4fa;	television
&#x1f4f7;	camera
